ก๊าซซัลฟอร์ไดออกไซต์  ,ก๊าซไนโตรเจนออกไซต์,ก๊าซคาร์บอนมอนอกไซต์ 8 ชั่วโมง,ก๊าซโอโซน 1 ชั่วโมง
3.2,28.3,1.3,13.4
5.2,37.2,1.4,22.4
3.0,23.0,1.1,25.4
4.3,21.5,0.8,21.6
3.3,12.6,1.0,4.6
2.8,7.7,0.7,11.7
2.3,10.3,0.6,12.2
1.5,10.3,0.7,9.2
1.3,12.7,0.7,10.7
2.8,15.9,0.9,16.9
3.2,21.8,0.9,18.6
3.0,21.1,1.0,14.3
2.6,24.3,1.4,16.8
1.7,23.0,0.9,22.3
2.4,24.4,0.8,23.5
2.0,17.8,0.6,18.9
0.9,12.1,0.5,16.3
1.2,11.8,0.4,13.0
2.4,12.2,0.4,10.7
3.0,11.4,0.4,13.0
1.9,15.2,0.7,8.6
1.5,16.2,0.6,10.4
1.9,21.1,0.8,14.1
2.7,29.5,1.1,17.3
3,30,1.0,20
3,29,1.1,18
2,23,0.8,24
3,20,1.0,24
2,16,0.6,23
1,12,0.4,19
1,11,0.4,13
1,13,0.7,11
1,16,0.5,12
2,19,0.6,16
1.8,22.8,0.7,19
3,33,1.0,19
2,26,0.8,18
2,28,0.8,19
2,27,0.9,25
2,22,0.7,31
0,18,0.7,26
2,16,0.5,19
2,13,0.6,17
1,12,0.6,10
2,13,0.5,9
6,16,0.7,17
3,25,0.7,26
4,30,0.8,18
2,28,1.2,21
2,24,0.9,21
2,23,0.9,26
2,22,0.8,29
3,14,0.7,23
2,10,0.7,14
2,10,0.6,14
1,11,0.8,9
3,12,0.6,10
2,16,0.8,14
3,22,1,16
3,24,1.1,24
2,21,21,22
2,26,25,25
3,21,26,25
1,17,25,25
2,14,20,21
2,12,14,14
1,11,11,11
1,11,12,12
1,12,14,14
1,19,18,18
2,22,16,16
3,26,19,19
2,26,0.64,22
1,29,1.08,22
1,26,0.50,27
1,22,0.54,30
1,19,0.89,25
1,15,0.64,18
1,12,0.47,12
1,N/A,0.61,10
2,N/A,0.62,9
0,10,0.35,26
0,4,0.19,23
1,10,0.22,31
1,17,0.26,31
1,12,0.28,37
2,11,0.57,44
1,9,0.34,43
1,6,0.14,33
1,6,0.38,26
1,7,0.21,18
1,4,0.25,17
1,6,0.31,16
1,7,0.33,16
1,9,0.54,22
2,5,0.7,31
2,17,0.86,32
1,14,0.8,32
1,6,0.76,42
1,6,0.64,45
1,6,0.46,35
1,6,0.45,33
1,5,0.44,24
1,6,0.45,21
0,8,0.5,19
1,10,0.61,21
1,10,0.6,20
1,8,0.77,26
1,9,0.74,N/A
2,12,0.84,N/A
2,6,0.78,N/A
1,2,0.51,N/A
1,7,0.45,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2,7,0.21,N/A
2,9,0.44,N/A
2,12,0.8,N/A
3,10,0.61,N/A
3,11,0.67,N/A
1,7,N/A,N/A
1,14,N/A,N/A
0,15,N/A,N/A
1,10,N/A,N/A
1,6,N/A,N/A
1,8,N/A,N/A
1,7,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2,9,N/A,N/A
3,11,N/A,N/A
3,15,N/A,N/A
3,14,N/A,N/A
4,18,N/A,N/A
3,13,N/A,N/A
3,11,N/A,N/A
3,6,N/A,N/A
1,4,N/A,N/A
0,3,N/A,N/A
0,3,N/A,N/A
0,3,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
